[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deleteTournament, deletePlayer]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deleteTournament, deletePlayer]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deleteTournament, deletePlayer]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deletePlayer, deleteTournament, deleteTournament]
[deleteEnrollment, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament, deletePlayer]
[deleteEnrollment, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deletePlayer, deleteTournament]
[deleteEnrollment, postEnrollment, deleteEnrollment, deleteTournament, deleteTournament, deletePlayer, deletePlayer]
[deleteEnrollment, postEnrollment, deleteEnrollment, deleteTournament, deleteTournament, deletePlayer, deletePlayer]
[deleteEnrollment, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament, deletePlayer]
[deleteEnrollment, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deletePlayer, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deletePlayer, deleteTournament, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deleteTournament, deletePlayer]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deletePlayer, deleteTournament, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deletePlayer, deleteTournament, deleteTournament]
[deleteEnrollment, deletePlayer, postEnrollment, deleteEnrollment, deleteTournament, deletePlayer, deleteTournament]
